city_name,population,country_alpha3_code,alpha2_country_code,latitude,longitude
Stavanger,108848,NOR,NO,58.9699675,5.7318101
Bærum,101340,NOR,NO,59.9289639,10.499710818578327
Warszawa,1615369,POL,PL,52.2319581,21.0067249
Lódz,800110,POL,PL,51.7687323,19.4569911
Kraków,738150,POL,PL,50.0469432,19.997153435836697
Wroclaw,636765,POL,PL,51.1089776,17.0326689
Poznan,576899,POL,PL,52.4082663,16.9335199
Gdansk,458988,POL,PL,54.42880315,18.79832701217957
Szczecin,416988,POL,PL,53.42968095,14.592912670292268
Bydgoszcz,386855,POL,PL,53.12971265,18.02944875572119
Lublin,356251,POL,PL,51.2181945,22.554677562145155
Katowice,345934,POL,PL,50.2598987,19.0215852
